obsnme,obsval,ROW,COLUMN,TIME,spec
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:53_time:31_spec:ctet,0.0,105,53,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:113_j:60_time:31_spec:ctet,0.0,113,60,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:112_j:60_time:31_spec:ctet,0.0,112,60,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:111_j:61_time:31_spec:ctet,0.0,111,61,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:106_j:58_time:31_spec:ctet,0.0,106,58,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:58_time:31_spec:ctet,0.0,97,58,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:108_j:64_time:31_spec:ctet,0.0,108,64,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:63_time:31_spec:ctet,0.0,118,63,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:115_j:53_time:31_spec:ctet,0.0,115,53,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:43_time:31_spec:ctet,0.0,116,43,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:43_time:31_spec:ctet,0.0,118,43,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:42_time:31_spec:ctet,0.0,120,42,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:122_j:42_time:31_spec:ctet,0.0,122,42,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:51_time:31_spec:ctet,0.0,116,51,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:45_time:31_spec:ctet,0.0,124,45,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:122_j:40_time:31_spec:ctet,0.0,122,40,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:40_time:31_spec:ctet,0.0,120,40,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:41_time:31_spec:ctet,0.0,116,41,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:114_j:71_time:31_spec:ctet,0.0,114,71,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:78_time:31_spec:ctet,0.0,124,78,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:83_time:31_spec:ctet,0.0,124,83,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:125_j:75_time:31_spec:ctet,0.0,125,75,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:123_j:79_time:31_spec:ctet,0.0,123,79,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:31_spec:ctet,0.0,124,77,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:80_time:31_spec:ctet,0.0,127,80,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:126_j:80_time:31_spec:ctet,0.0,126,80,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:126_j:82_time:31_spec:ctet,0.0,126,82,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:31_spec:ctet,0.0,124,77,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:31_spec:ctet,0.0,124,77,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:83_time:31_spec:ctet,0.0,127,83,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:78_time:31_spec:ctet,0.0,124,78,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:135_j:64_time:31_spec:ctet,0.0,135,64,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:142_j:63_time:31_spec:ctet,0.0,142,63,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:144_j:68_time:31_spec:ctet,0.0,144,68,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:78_j:91_time:31_spec:ctet,0.0,78,91,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:71_time:31_spec:ctet,0.0,72,71,31,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:77_j:63_time:31_spec:ctet,0.0,77,63,31,ctet
