Year,Elevation
2012,137.3271
2012,137.3079
2012,137.2899
2012,137.2706
2012,137.2520
2012,137.2327
2012,137.2140
2012,137.1948
2012,137.1755
2012,137.1569
2012,137.1376
2012,137.1190
2013,137.0997
2013,137.0858
2013,137.0733
2013,137.0595
2013,137.0461
2013,137.0322
2013,137.0188
2013,137.0049
2013,136.9911
2013,136.9777
2013,136.9638
2013,136.9504
2014,136.9366
2014,136.9227
2014,136.9101
2014,136.8962
2014,136.8828
2014,136.8689
2014,136.8554
2014,136.8415
2014,136.8276
2014,136.8142
2014,136.8003
2014,136.7868
2015,136.7729
2015,136.7605
2015,136.7493
2015,136.7368
2015,136.7248
2015,136.7124
2015,136.7004
2015,136.6880
2015,136.6755
2015,136.6635
2015,136.6511
2015,136.6391
2016,136.6266
2016,136.6119
2016,136.5980
2016,136.5833
2016,136.5690
2016,136.5542
2016,136.5399
2016,136.5251
2016,136.5104
2016,136.4961
2016,136.4813
2016,136.4670
2017,136.4522
2017,136.4433
2017,136.4352
2017,136.4262
2017,136.4175
2017,136.4085
2017,136.3999
2017,136.3909
2017,136.3819
2017,136.3732
2017,136.3643
2017,136.3556
2018,136.3466
2018,136.3423
2018,136.3383
2018,136.3340
2018,136.3298
2018,136.3255
2018,136.3212
2018,136.3169
2018,136.3126
2018,136.3083
2018,136.3040
2018,136.2998
2019,136.3524
2019,136.3476
2019,136.3433
2019,136.3385
2019,136.3339
2019,136.3291
2019,136.3244
2019,136.3197
2019,136.3149
2019,136.3102
2019,136.3054
2019,136.3008
2020,136.2960
2020,136.2880
2020,136.2806
2020,136.2726
2020,136.2649
2020,136.2570
2020,136.2493
2020,136.2413
2020,136.2334
2020,136.2257
2020,136.2177
2020,136.2100
2021,136.2021
2021,136.1953
2021,136.1891
2021,136.1822
2021,136.1756
2021,136.1688
2021,136.1621
2021,136.1553
2021,136.1485
2021,136.1418
2021,136.1350
2021,136.1284
2022,136.1216
2022,136.1170
2022,136.1129
2022,136.1084
2022,136.1040
2022,136.0994
2022,136.0950
2022,136.0905
2022,136.0859
2022,136.0815
2022,136.0770
2022,136.0726
2023,136.0681
2023,136.0678
2023,136.0675
2023,136.0672
2023,136.0669
2023,136.0666
2023,136.0663
2023,136.0661
2023,136.0658
2023,136.0655
2023,136.0652
2023,136.0649
2024,136.0646
2024,136.0639
2024,136.0633
2024,136.0626
2024,136.0619
2024,136.0612
2024,136.0606
2024,136.0599
2024,136.0592
2024,136.0585
2024,136.0578
2024,136.0571
2025,136.0565
2025,136.0577
2025,136.0588
2025,136.0600
2025,136.0612
2025,136.0624
2025,136.0635
2025,136.0647
2025,136.0659
2025,136.0671
2025,136.0683
2025,136.0695
2026,136.0706
2026,136.0691
2026,136.0678
2026,136.0663
2026,136.0649
2026,136.0634
2026,136.0620
2026,136.0605
2026,136.0590
2026,136.0576
2026,136.0561
2026,136.0546
2027,136.0531
2027,136.0503
2027,136.0478
2027,136.0449
2027,136.0422
2027,136.0394
2027,136.0366
2027,136.0338
2027,136.0310
2027,136.0282
2027,136.0254
2027,136.0227
2028,136.0199
2028,136.0024
2028,135.9850
2028,135.9673
2029,135.9496
2029,135.9279
2029,135.9059
2029,135.8836
2030,135.8614
2030,135.8374
2030,135.8131
2030,135.7886
2031,135.7641
2031,135.7391
2031,135.7138
2031,135.6883
2032,135.6627
2032,135.6370
2032,135.6113
2032,135.5852
2033,135.5592
2033,135.5336
2033,135.5078
2033,135.4816
2034,135.4555
2034,135.4302
2034,135.4046
2034,135.3787
2035,135.3528
2035,135.3279
2035,135.3026
2035,135.2771
2036,135.2516
2036,135.1554
2036,135.0592
2036,134.9620
2037,134.8647
2037,134.7734
2037,134.6810
2037,134.5876
