Year,Elevation
2018,126.372
2019,126.335
2020,126.297
2021,126.260
2022,126.223
2023,126.186
2024,126.150
2025,126.114
2026,126.078
2027,126.043
2028,126.008
2029,125.973
2030,125.938
2031,125.903
2032,125.869
2033,125.835
2034,125.802
2035,125.768
2036,125.735
2037,125.702
2038,125.670
2039,125.637
2040,125.605
2041,125.573
2042,125.542
2043,125.510
2044,125.479
2045,125.448
2046,125.418
2047,125.387
2048,125.357
2049,125.327
2050,125.297
2051,125.268
2052,125.239
2053,125.209
2054,125.181
2055,125.152
2056,125.124
2057,125.095
2058,125.068
2059,125.040
2060,125.012
2061,124.985
2062,124.958
2063,124.931
2064,124.904
2065,124.878
2066,124.851
2067,124.825
2068,124.799
2069,124.774
2070,124.748
2071,124.723
2072,124.698
2073,124.673
2074,124.648
2075,124.624
2076,124.599
2077,124.575
2078,124.551
2079,124.527
2080,124.504
2081,124.480
2082,124.457
2083,124.434
2084,124.411
2085,124.388
2086,124.366
2087,124.344
2088,124.321
2089,124.299
2090,124.277
2091,124.256
2092,124.234
2093,124.213
2094,124.192
2095,124.171
2096,124.150
2097,124.129
2098,124.109
2099,124.088
2100,124.068
2135,123.449
2151,123.218
2494,121.576
2517,121.556
2520,121.553
2521,121.552
2525,121.549
2526,121.548
2527,121.548
2529,121.546
2530,121.546
2533,121.543
2535,121.542
2543,121.536
2550,121.532
2551,121.531
2552,121.531
2570,121.460
