Year,Elevation
2012,125.0174
2012,125.0138
2012,125.0103
2012,125.0067
2012,125.0031
2012,124.9994
2012,124.9959
2012,124.9922
2012,124.9885
2012,124.9850
2012,124.9813
2012,124.9777
2013,124.9740
2013,124.9704
2013,124.9671
2013,124.9635
2013,124.9600
2013,124.9563
2013,124.9528
2013,124.9492
2013,124.9456
2013,124.9420
2013,124.9384
2013,124.9349
2014,124.9313
2014,124.9283
2014,124.9256
2014,124.9226
2014,124.9197
2014,124.9168
2014,124.9139
2014,124.9109
2014,124.9079
2014,124.9051
2014,124.9021
2014,124.8992
2015,124.8962
2015,124.8932
2015,124.8904
2015,124.8873
2015,124.8844
2015,124.8813
2015,124.8784
2015,124.8753
2015,124.8722
2015,124.8693
2015,124.8662
2015,124.8633
2016,124.8602
2016,124.8583
2016,124.8565
2016,124.8545
2016,124.8526
2016,124.8507
2016,124.8488
2016,124.8469
2016,124.8449
2016,124.8431
2016,124.8411
2016,124.8393
2017,124.8373
2017,124.8346
2017,124.8322
2017,124.8296
2017,124.8270
2017,124.8243
2017,124.8217
2017,124.8190
2017,124.8163
2017,124.8138
2017,124.8111
2017,124.8085
2018,124.8058
2018,124.8031
2018,124.8006
2018,124.7978
2018,124.7952
2018,124.7924
2018,124.7898
2018,124.7870
2018,124.7843
2018,124.7816
2018,124.7789
2018,124.7762
2019,124.7123
2019,124.7080
2019,124.7042
2019,124.7000
2019,124.6958
2019,124.6916
2019,124.6875
2019,124.6832
2019,124.6790
2019,124.6748
2019,124.6706
2019,124.6665
2020,124.6622
2020,124.6582
2020,124.6545
2020,124.6506
2020,124.6467
2020,124.6427
2020,124.6389
2020,124.6349
2020,124.6309
2020,124.6271
2020,124.6231
2020,124.6193
2021,124.6153
2021,124.6116
2021,124.6083
2021,124.6047
2021,124.6011
2021,124.5974
2021,124.5939
2021,124.5902
2021,124.5866
2021,124.5830
2021,124.5794
2021,124.5758
2022,124.5721
2022,124.5687
2022,124.5655
2022,124.5621
2022,124.5587
2022,124.5552
2022,124.5519
2022,124.5484
2022,124.5449
2022,124.5415
2022,124.5381
2022,124.5347
2023,124.5312
2023,124.5279
2023,124.5249
2023,124.5216
2023,124.5184
2023,124.5150
2023,124.5118
2023,124.5085
2023,124.5052
2023,124.5020
2023,124.4986
2023,124.4954
2024,124.4921
2024,124.4888
2024,124.4858
2024,124.4825
2024,124.4793
2024,124.4760
2024,124.4729
2024,124.4696
2024,124.4663
2024,124.4632
2024,124.4599
2024,124.4567
2025,124.4535
2025,124.4503
2025,124.4474
2025,124.4442
2025,124.4411
2025,124.4379
2025,124.4348
2025,124.4316
2025,124.4284
2025,124.4253
2025,124.4221
2025,124.4190
2026,124.4158
2026,124.4127
2026,124.4098
2026,124.4066
2026,124.4036
2026,124.4004
2026,124.3973
2026,124.3942
2026,124.3910
2026,124.3879
2026,124.3848
2026,124.3817
2027,124.3785
2027,124.3753
2027,124.3723
2027,124.3690
2027,124.3658
2027,124.3625
2027,124.3593
2027,124.3560
2027,124.3527
2027,124.3495
2027,124.3462
2027,124.3430
2028,124.3397
2028,124.3364
2028,124.3334
2028,124.3301
2028,124.3270
2028,124.3237
2028,124.3206
2028,124.3173
2028,124.3141
2028,124.3110
2028,124.3077
2028,124.3046
2029,124.3013
2029,124.2981
2029,124.2953
2029,124.2921
2029,124.2891
2029,124.2859
2029,124.2828
2029,124.2797
2029,124.2765
2029,124.2735
2029,124.2703
2029,124.2672
2030,124.2641
2030,124.2610
2030,124.2582
2030,124.2551
2030,124.2521
2030,124.2490
2030,124.2461
2030,124.2430
2030,124.2399
2030,124.2369
2030,124.2338
2030,124.2308
2031,124.2278
2031,124.2248
2031,124.2221
2031,124.2191
2031,124.2162
2031,124.2132
2031,124.2104
2031,124.2074
2031,124.2044
2031,124.2015
2031,124.1985
2031,124.1957
2032,124.1927
2032,124.1898
2032,124.1870
2032,124.1841
2032,124.1813
2032,124.1784
2032,124.1756
2032,124.1727
2032,124.1698
2032,124.1669
2032,124.1640
2032,124.1612
2033,124.1583
2033,124.1555
2033,124.1529
2033,124.1501
2033,124.1474
2033,124.1446
2033,124.1419
2033,124.1391
2033,124.1362
2033,124.1335
2033,124.1307
2033,124.1280
2034,124.1252
2034,124.1224
2034,124.1198
2034,124.1170
2034,124.1143
2034,124.1115
2034,124.1088
2034,124.1060
2034,124.1032
2034,124.1004
2034,124.0976
2034,124.0949
2035,124.0921
2035,124.0894
2035,124.0869
2035,124.0842
2035,124.0816
2035,124.0788
2035,124.0762
2035,124.0735
2035,124.0708
2035,124.0681
2035,124.0654
2035,124.0628
2036,124.0601
2036,124.0574
2036,124.0549
2036,124.0522
2036,124.0496
2036,124.0469
2036,124.0443
2036,124.0416
2036,124.0390
2036,124.0364
2036,124.0337
2036,124.0311
2037,124.0284
2037,124.0259
2037,124.0236
2037,124.0210
2037,124.0186
2037,124.0161
2037,124.0136
2037,124.0111
2037,124.0085
2037,124.0061
2037,124.0036
2037,124.0011
2038,123.9986
2039,123.9706
2040,123.9425
2041,123.9144
2042,123.8872
2043,123.8598
2044,123.8332
2045,123.8068
2046,123.7811
2047,123.7549
2048,123.7294
2049,123.7038
2050,123.6782
2051,123.6529
2052,123.6276
2053,123.6018
2054,123.5772
2055,123.5522
2056,123.5277
2057,123.5027
2058,123.4790
2059,123.4548
2060,123.4306
2061,123.4069
2062,123.3835
2063,123.3601
2064,123.3366
2065,123.3138
2066,123.2905
2067,123.2650
2068,123.2390
2069,123.2139
2070,123.1887
2071,123.1641
2072,123.1400
2073,123.1161
2074,123.0926
2075,123.0698
2076,123.0468
2077,123.0245
2078,123.0024
2079,122.9805
2080,122.9594
2081,122.9378
2082,122.9170
2083,122.8963
2084,122.8758
2085,122.8554
2086,122.8358
2087,122.8163
2088,122.7963
2089,122.7770
2090,122.7578
2091,122.7392
2092,122.7203
2093,122.7019
2094,122.6837
2095,122.6655
2096,122.6475
2097,122.6294
2098,122.6121
2099,122.5943
2100,122.5771
2135,122.0662
