,obsnme,obsval,i,j,time,spec
37,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:111_j:45_time:31_spec:ctet,0.0,111,45,31,ctet
38,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:114_j:43_time:31_spec:ctet,0.0,114,43,31,ctet
39,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:112_j:60_time:31_spec:ctet,0.1732640884311124,112,60,31,ctet
40,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:53_time:31_spec:ctet,0.07114926463257476,105,53,31,ctet
41,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:57_time:31_spec:ctet,0.06923140875553747,105,57,31,ctet
42,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:107_j:59_time:31_spec:ctet,0.1547299627409448,107,59,31,ctet
43,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:60_time:31_spec:ctet,0.000673605210121196,116,60,31,ctet
44,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:59_time:31_spec:ctet,2.9249700013506583e-05,120,59,31,ctet
45,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:58_time:31_spec:ctet,0.039328791668525334,100,58,31,ctet
46,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:54_time:31_spec:ctet,0.15342382447621597,100,54,31,ctet
47,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:103_j:58_time:31_spec:ctet,0.0,103,58,31,ctet
48,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:53_time:31_spec:ctet,0.07114926463257476,105,53,31,ctet
49,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:113_j:60_time:31_spec:ctet,0.04166270395968863,113,60,31,ctet
50,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:112_j:60_time:31_spec:ctet,0.1732640884311124,112,60,31,ctet
51,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:111_j:61_time:31_spec:ctet,0.33736958600526873,111,61,31,ctet
52,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:106_j:58_time:31_spec:ctet,0.4054149053757289,106,58,31,ctet
53,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:58_time:31_spec:ctet,0.14286716944626987,97,58,31,ctet
54,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:108_j:64_time:31_spec:ctet,0.0,108,64,31,ctet
55,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:63_time:31_spec:ctet,0.0,118,63,31,ctet
56,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:115_j:53_time:31_spec:ctet,0.004138084173530969,115,53,31,ctet
57,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:43_time:31_spec:ctet,0.0,116,43,31,ctet
58,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:43_time:31_spec:ctet,0.0,118,43,31,ctet
59,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:42_time:31_spec:ctet,0.0,120,42,31,ctet
60,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:122_j:42_time:31_spec:ctet,0.0,122,42,31,ctet
61,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:51_time:31_spec:ctet,7.310823047588867e-06,116,51,31,ctet
62,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:45_time:31_spec:ctet,0.0,124,45,31,ctet
63,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:122_j:40_time:31_spec:ctet,0.0,122,40,31,ctet
64,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:40_time:31_spec:ctet,0.0,120,40,31,ctet
65,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:41_time:31_spec:ctet,0.0,116,41,31,ctet
66,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:114_j:71_time:31_spec:ctet,0.0,114,71,31,ctet
67,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:78_time:31_spec:ctet,0.02754161491993204,124,78,31,ctet
68,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:83_time:31_spec:ctet,0.0,124,83,31,ctet
69,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:125_j:75_time:31_spec:ctet,0.0,125,75,31,ctet
70,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:123_j:79_time:31_spec:ctet,0.0,123,79,31,ctet
71,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:31_spec:ctet,0.0010730323574718137,124,77,31,ctet
72,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:80_time:31_spec:ctet,0.0,127,80,31,ctet
73,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:126_j:80_time:31_spec:ctet,0.0,126,80,31,ctet
74,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:126_j:82_time:31_spec:ctet,0.0,126,82,31,ctet
75,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:31_spec:ctet,0.0010730323574718137,124,77,31,ctet
76,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:31_spec:ctet,0.0010730323574718137,124,77,31,ctet
77,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:83_time:31_spec:ctet,7.777789243153754e-06,127,83,31,ctet
78,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:78_time:31_spec:ctet,0.02754161491993204,124,78,31,ctet
79,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:135_j:64_time:31_spec:ctet,0.0,135,64,31,ctet
80,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:142_j:63_time:31_spec:ctet,0.0,142,63,31,ctet
81,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:144_j:68_time:31_spec:ctet,0.0,144,68,31,ctet
82,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:78_j:91_time:31_spec:ctet,0.0,78,91,31,ctet
83,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:71_time:31_spec:ctet,0.0,72,71,31,ctet
84,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:77_j:63_time:31_spec:ctet,0.0,77,63,31,ctet
85,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:83_j:80_time:31_spec:ctet,0.0,83,80,31,ctet
86,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:75_j:62_time:31_spec:ctet,0.0,75,62,31,ctet
87,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:45_time:31_spec:ctet,0.0,72,45,31,ctet
88,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:128_time:31_spec:ctet,0.0,118,128,31,ctet
89,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:108_j:113_time:31_spec:ctet,0.0,108,113,31,ctet
90,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:76_j:84_time:31_spec:ctet,0.0,76,84,31,ctet
91,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:101_j:112_time:31_spec:ctet,0.0,101,112,31,ctet
92,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:93_j:112_time:31_spec:ctet,0.0,93,112,31,ctet
93,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:93_j:112_time:31_spec:ctet,0.0,93,112,31,ctet
94,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:87_j:111_time:31_spec:ctet,0.0,87,111,31,ctet
95,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:79_j:110_time:31_spec:ctet,0.0,79,110,31,ctet
96,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:79_j:110_time:31_spec:ctet,0.0,79,110,31,ctet
97,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:107_time:31_spec:ctet,0.0,72,107,31,ctet
98,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:68_j:45_time:31_spec:ctet,0.0,68,45,31,ctet
99,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:66_j:45_time:31_spec:ctet,0.0,66,45,31,ctet
100,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:64_j:45_time:31_spec:ctet,0.0,64,45,31,ctet
101,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:31_spec:ctet,0.0,60,95,31,ctet
102,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:65_j:101_time:31_spec:ctet,0.0,65,101,31,ctet
103,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:134_j:145_time:60_spec:ctet,0.0,134,145,60,ctet
104,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:121_j:135_time:60_spec:ctet,0.0,121,135,60,ctet
105,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:142_time:60_spec:ctet,0.0,127,142,60,ctet
106,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:85_j:45_time:60_spec:ctet,0.0,85,45,60,ctet
107,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:75_j:45_time:60_spec:ctet,0.0,75,45,60,ctet
108,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:95_j:85_time:60_spec:ctet,0.0,95,85,60,ctet
109,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:93_j:76_time:60_spec:ctet,0.0,93,76,60,ctet
110,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:89_j:64_time:60_spec:ctet,0.39878042327040536,89,64,60,ctet
111,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:89_j:63_time:60_spec:ctet,0.05861787067058569,89,63,60,ctet
112,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:106_j:72_time:60_spec:ctet,0.55869887171052,106,72,60,ctet
113,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:89_j:64_time:60_spec:ctet,0.39878042327040536,89,64,60,ctet
114,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:94_j:71_time:60_spec:ctet,0.9942425047207513,94,71,60,ctet
115,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:58_time:60_spec:ctet,0.5365365557412846,97,58,60,ctet
116,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:89_j:80_time:60_spec:ctet,0.7333118666018368,89,80,60,ctet
117,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:107_j:91_time:60_spec:ctet,0.0,107,91,60,ctet
118,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:92_j:91_time:60_spec:ctet,1.4081368633179066,92,91,60,ctet
119,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:85_j:91_time:60_spec:ctet,0.6784072155727757,85,91,60,ctet
120,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:91_time:60_spec:ctet,1.205726684622267,97,91,60,ctet
121,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:90_j:87_time:60_spec:ctet,0.0,90,87,60,ctet
122,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:110_j:87_time:60_spec:ctet,0.0,110,87,60,ctet
123,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:99_j:63_time:60_spec:ctet,0.4991584514670677,99,63,60,ctet
124,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:107_j:79_time:60_spec:ctet,0.2860971924464976,107,79,60,ctet
125,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:102_j:91_time:60_spec:ctet,0.0,102,91,60,ctet
126,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:95_j:74_time:60_spec:ctet,0.0,95,74,60,ctet
127,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:87_j:86_time:60_spec:ctet,0.0,87,86,60,ctet
128,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:86_time:60_spec:ctet,0.0,97,86,60,ctet
129,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:94_j:80_time:60_spec:ctet,0.0,94,80,60,ctet
130,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:103_j:87_time:60_spec:ctet,0.0,103,87,60,ctet
131,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:72_time:60_spec:ctet,0.5146501286129115,100,72,60,ctet
132,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:80_time:60_spec:ctet,0.7046128162311505,97,80,60,ctet
133,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:85_time:60_spec:ctet,0.0,100,85,60,ctet
134,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:106_j:56_time:60_spec:ctet,0.015835248194956464,106,56,60,ctet
135,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:104_j:53_time:60_spec:ctet,0.10799360706682841,104,53,60,ctet
136,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:102_j:58_time:60_spec:ctet,0.3310773688367828,102,58,60,ctet
137,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:95_j:45_time:60_spec:ctet,0.0,95,45,60,ctet
138,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:45_time:60_spec:ctet,0.0,105,45,60,ctet
139,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:110_j:39_time:60_spec:ctet,0.0,110,39,60,ctet
140,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:111_j:45_time:60_spec:ctet,0.0,111,45,60,ctet
141,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:114_j:43_time:60_spec:ctet,0.0,114,43,60,ctet
142,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:112_j:60_time:60_spec:ctet,0.01028251910550694,112,60,60,ctet
143,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:53_time:60_spec:ctet,0.0562635995858532,105,53,60,ctet
144,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:57_time:60_spec:ctet,0.01779653449990794,105,57,60,ctet
145,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:107_j:59_time:60_spec:ctet,0.10279371519038902,107,59,60,ctet
146,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:60_time:60_spec:ctet,0.0005802835668918934,116,60,60,ctet
147,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:59_time:60_spec:ctet,2.766644958949533e-05,120,59,60,ctet
148,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:58_time:60_spec:ctet,0.0,100,58,60,ctet
149,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:54_time:60_spec:ctet,0.03423163919835376,100,54,60,ctet
150,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:103_j:58_time:60_spec:ctet,0.0,103,58,60,ctet
151,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:53_time:60_spec:ctet,0.0562635995858532,105,53,60,ctet
152,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:113_j:60_time:60_spec:ctet,0.07793558939903954,113,60,60,ctet
153,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:112_j:60_time:60_spec:ctet,0.01028251910550694,112,60,60,ctet
154,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:111_j:61_time:60_spec:ctet,0.038589260828826674,111,61,60,ctet
155,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:106_j:58_time:60_spec:ctet,0.2452199001458069,106,58,60,ctet
156,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:58_time:60_spec:ctet,0.5365365557412846,97,58,60,ctet
157,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:108_j:64_time:60_spec:ctet,0.564610342546062,108,64,60,ctet
158,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:63_time:60_spec:ctet,0.10032303520411656,118,63,60,ctet
159,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:115_j:53_time:60_spec:ctet,0.016501529040069005,115,53,60,ctet
160,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:43_time:60_spec:ctet,0.0,116,43,60,ctet
161,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:43_time:60_spec:ctet,0.0,118,43,60,ctet
162,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:42_time:60_spec:ctet,0.0,120,42,60,ctet
163,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:122_j:42_time:60_spec:ctet,0.0,122,42,60,ctet
164,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:51_time:60_spec:ctet,7.978953194872527e-06,116,51,60,ctet
165,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:45_time:60_spec:ctet,0.0,124,45,60,ctet
166,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:122_j:40_time:60_spec:ctet,0.0,122,40,60,ctet
167,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:40_time:60_spec:ctet,0.0,120,40,60,ctet
168,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:41_time:60_spec:ctet,0.0,116,41,60,ctet
169,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:114_j:71_time:60_spec:ctet,0.0,114,71,60,ctet
170,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:78_time:60_spec:ctet,0.00010208948148857444,124,78,60,ctet
171,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:83_time:60_spec:ctet,0.0,124,83,60,ctet
172,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:125_j:75_time:60_spec:ctet,0.0,125,75,60,ctet
173,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:123_j:79_time:60_spec:ctet,0.0,123,79,60,ctet
174,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:60_spec:ctet,0.00029864430176900457,124,77,60,ctet
175,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:80_time:60_spec:ctet,0.0,127,80,60,ctet
176,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:126_j:80_time:60_spec:ctet,0.0,126,80,60,ctet
177,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:126_j:82_time:60_spec:ctet,0.0,126,82,60,ctet
178,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:60_spec:ctet,0.00029864430176900457,124,77,60,ctet
179,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:60_spec:ctet,0.00029864430176900457,124,77,60,ctet
180,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:83_time:60_spec:ctet,1.1442687642484464e-05,127,83,60,ctet
181,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:78_time:60_spec:ctet,0.00010208948148857444,124,78,60,ctet
182,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:135_j:64_time:60_spec:ctet,0.003455614335357976,135,64,60,ctet
183,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:142_j:63_time:60_spec:ctet,0.004090805454606258,142,63,60,ctet
184,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:144_j:68_time:60_spec:ctet,0.0031753002125896883,144,68,60,ctet
185,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:78_j:91_time:60_spec:ctet,0.0,78,91,60,ctet
186,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:71_time:60_spec:ctet,0.0,72,71,60,ctet
187,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:77_j:63_time:60_spec:ctet,0.0,77,63,60,ctet
188,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:83_j:80_time:60_spec:ctet,0.0,83,80,60,ctet
189,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:75_j:62_time:60_spec:ctet,0.0,75,62,60,ctet
190,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:45_time:60_spec:ctet,0.0,72,45,60,ctet
191,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:128_time:60_spec:ctet,0.0,118,128,60,ctet
192,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:108_j:113_time:60_spec:ctet,0.0,108,113,60,ctet
193,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:76_j:84_time:60_spec:ctet,0.0,76,84,60,ctet
194,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:101_j:112_time:60_spec:ctet,0.0,101,112,60,ctet
195,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:93_j:112_time:60_spec:ctet,0.0,93,112,60,ctet
196,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:93_j:112_time:60_spec:ctet,0.0,93,112,60,ctet
197,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:87_j:111_time:60_spec:ctet,0.0,87,111,60,ctet
198,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:79_j:110_time:60_spec:ctet,0.0,79,110,60,ctet
