WELL_NAME                WELL_ID                X                Y                TOPSCR                BOTSCR                TOPWEL                BOTWEL                2W_ROW                2W_COL                W2_ROW                W2_COL                E2_ROW                E2_COL
299-W11-42                C3242                566920.44                136745.67                138.02                127.34                211.07                125.72                90                63                98                76                0                0
299-W11-28                A4908                566934.89                136743.74                142.81                136.42                212.44                137.50                90                63                98                77                0                0
299-W10-28                C3400                566701.55                136709.93                137.46                126.79                206.83                121.48                90                59                100                65                0                0
299-W11-40                C3118                566926.84                136709.67                137.13                126.45                210.43                125.08                90                63                100                76                0                0
299-W10-3                A4897                566731.86                136673.40                150.59                133.53                205.76                132.92                91                59                101                67                0                0
299-W11-41                C3119                566935.51                136677.78                137.52                126.85                210.64                125.30                91                63                101                77                0                0
299-W11-47                C4990                566933.82                136680.70                126.07                116.76                210.40                86.35                91                63                101                77                0                0
299-W11-7                A4910                567260.88                136675.33                142.43                133.47                217.11                121.10                91                70                101                93                0                0
699-43-84                A8698                564184.49                136656.22                999.00                -999.00                199.27                23.40                91                8                102                8                0                0
299-W11-1                A7275                567220.38                136652.13                149.49                133.61                216.54                120.68                91                69                102                91                0                0
299-W11-3                A5473                567641.69                136663.89                142.60                138.64                220.02                119.44                91                77                102                112                0                0
299-W11-9                A4911                567781.00                136667.34                137.56                134.94                221.38                130.85                91                80                102                119                0                0
299-W10-2                A4896                566672.24                136614.78                144.80                136.26                206.58                136.48                92                58                104                64                0                0
299-W10-33                C5855                566772.75                136610.19                86.30                80.21                205.99                75.84                92                60                104                69                0                0
299-W11-10                A4901                568147.50                136610.03                143.13                131.66                223.19                129.61                92                87                104                137                0                0
299-W10-13                A4890                566027.41                136606.81                144.23                138.13                214.17                137.97                92                45                105                45                0                0
299-W10-14                A4891                566017.19                136608.90                83.42                77.33                214.29                73.47                92                45                105                45                0                0
299-W10-16                A4893                566780.89                136606.62                144.81                138.41                206.16                139.17                92                60                105                69                0                0
299-W11-12                A4902                566927.13                136604.02                147.23                133.48                208.19                131.99                92                63                105                76                0                0
299-W11-5                A7278                567443.38                136592.41                141.00                127.85                219.33                123.01                93                73                105                102                0                0
299-W11-87                C5407                568141.08                136608.70                106.45                101.87                223.64                100.08                92                87                105                137                0                0
299-W10-4                A7137                566734.63                136578.08                147.34                132.86                205.52                130.85                93                59                106                67                0                0
