Year,Elevation
2024,121.1901
2025,121.1557
2026,121.1231
2027,121.0886
2028,121.0476
2029,121.0095
2030,120.9745
2031,120.9418
2032,120.9111
2033,120.8819
2034,120.8542
2035,120.8277
2036,120.8021
2037,120.7776
2038,120.7567
2039,120.7433
2040,120.7251
2041,120.7055
2042,120.6861
2043,120.6673
2044,120.6492
2045,120.6316
2046,120.6146
2047,120.5980
2048,120.5818
2049,120.5659
2050,120.5503
2051,120.5343
2052,120.5186
2053,120.5031
2054,120.4879
2055,120.4730
2056,120.4582
2057,120.4435
2058,120.4291
2059,120.4148
2060,120.4006
2061,120.3865
2062,120.3726
2063,120.3588
2064,120.3448
2065,120.3310
2066,120.3174
2067,120.2925
2068,120.2685
2069,120.2462
2070,120.2253
2071,120.2045
2072,120.1850
2073,120.1663
2074,120.1485
2075,120.1313
2076,120.1147
2077,120.0987
2078,120.0831
2079,120.0681
2080,120.0535
2081,120.0391
2082,120.0253
2083,120.0118
2084,119.9987
2085,119.9859
2086,119.9734
2087,119.9611
2088,119.9492
2089,119.9374
2090,119.9259
2091,119.9146
2092,119.9035
2093,119.8926
2094,119.8818
2095,119.8712
2096,119.8608
2097,119.8505
2098,119.8405
2099,119.8306
2100,119.8207
2135,119.5628
2151,119.4722
2494,119.0166
2517,119.0115
2520,119.0114
2521,119.0114
2525,119.0114
2526,119.0114
2527,119.0095
2529,119.0094
2530,119.0079
2533,119.0078
2535,119.0078
2543,119.0078
2550,119.0078
2551,119.0077
2552,119.0077
2570,119.0074
