Year,Elevation
2024,134.6087
2025,134.5467
2026,134.5518
2027,134.5197
2028,134.4669
2029,134.4023
2030,134.3123
2031,134.2090
2032,134.1024
2033,133.9962
2034,133.8916
2035,133.7889
2036,133.6883
2037,133.5898
2038,133.4194
2039,133.0201
2040,132.7049
2041,132.4944
2042,132.3504
2043,132.2424
2044,132.1541
2045,132.0768
2046,132.0069
2047,131.9417
2048,131.8799
2049,131.8206
2050,131.7635
2051,131.7055
2052,131.6484
2053,131.5924
2054,131.5378
2055,131.4843
2056,131.4317
2057,131.3799
2058,131.3289
2059,131.2786
2060,131.2289
2061,131.1794
2062,131.1304
2063,131.0818
2064,131.0334
2065,130.9851
2066,130.9372
2067,130.8891
2068,130.8405
2069,130.7913
2070,130.7418
2071,130.6920
2072,130.6419
2073,130.5917
2074,130.5416
2075,130.4917
2076,130.4420
2077,130.3927
2078,130.3438
2079,130.2953
2080,130.2472
2081,130.1991
2082,130.1517
2083,130.1049
2084,130.0588
2085,130.0132
2086,129.9683
2087,129.9241
2088,129.8805
2089,129.8374
2090,129.7951
2091,129.7534
2092,129.7122
2093,129.6716
2094,129.6316
2095,129.5921
2096,129.5532
2097,129.5148
2098,129.4769
2099,129.4395
2100,129.4027
2135,128.4756
2151,128.1760
2494,127.1074
2517,127.0833
2520,127.0815
2521,127.0809
2525,127.0790
2526,127.0786
2527,127.0770
2529,127.0766
2530,127.0750
2533,127.0743
2535,127.0741
2543,127.0722
2550,127.0707
2551,127.0703
2552,127.0704
2570,127.0635
