Year,Elevation
2024,127.6214
2025,127.5033
2026,127.3900
2027,127.2792
2028,127.1732
2029,127.0684
2030,126.9647
2031,126.8620
2032,126.7615
2033,126.6641
2034,126.5711
2035,126.4827
2036,126.3982
2037,126.3174
2038,126.2432
2039,126.1857
2040,126.1497
2041,126.1323
2042,126.1269
2043,126.1273
2044,126.1289
2045,126.1287
2046,126.1253
2047,126.1182
2048,126.1075
2049,126.0933
2050,126.0761
2051,126.0590
2052,126.0388
2053,126.0157
2054,125.9905
2055,125.9639
2056,125.9360
2057,125.9072
2058,125.8776
2059,125.8476
2060,125.8172
2061,125.7864
2062,125.7556
2063,125.7248
2064,125.6938
2065,125.6626
2066,125.6315
2067,125.5997
2068,125.5672
2069,125.5339
2070,125.5001
2071,125.4661
2072,125.4319
2073,125.3975
2074,125.3631
2075,125.3287
2076,125.2943
2077,125.2601
2078,125.2261
2079,125.1924
2080,125.1590
2081,125.1256
2082,125.0927
2083,125.0604
2084,125.0285
2085,124.9970
2086,124.9660
2087,124.9354
2088,124.9052
2089,124.8754
2090,124.8461
2091,124.8173
2092,124.7888
2093,124.7606
2094,124.7330
2095,124.7058
2096,124.6789
2097,124.6524
2098,124.6263
2099,124.6005
2100,124.5751
2135,123.9128
2151,123.6964
2494,122.7560
2517,122.7345
2520,122.7330
2521,122.7326
2525,122.7311
2526,122.7307
2527,122.7297
2529,122.7293
2530,122.7282
2533,122.7274
2535,122.7270
2543,122.7252
2550,122.7238
2551,122.7235
2552,122.7237
2570,122.7147
