Year,Elevation
2024,121.1821
2025,121.1477
2026,121.1150
2027,121.0806
2028,121.0397
2029,121.0017
2030,120.9667
2031,120.9340
2032,120.9033
2033,120.8741
2034,120.8464
2035,120.8199
2036,120.7943
2037,120.7698
2038,120.7489
2039,120.7354
2040,120.7172
2041,120.6977
2042,120.6783
2043,120.6595
2044,120.6414
2045,120.6238
2046,120.6068
2047,120.5902
2048,120.5741
2049,120.5581
2050,120.5425
2051,120.5265
2052,120.5109
2053,120.4954
2054,120.4802
2055,120.4653
2056,120.4505
2057,120.4359
2058,120.4215
2059,120.4071
2060,120.3930
2061,120.3788
2062,120.3650
2063,120.3512
2064,120.3372
2065,120.3234
2066,120.3099
2067,120.2852
2068,120.2613
2069,120.2391
2070,120.2182
2071,120.1974
2072,120.1779
2073,120.1592
2074,120.1414
2075,120.1242
2076,120.1076
2077,120.0916
2078,120.0760
2079,120.0610
2080,120.0464
2081,120.0321
2082,120.0182
2083,120.0048
2084,119.9916
2085,119.9788
2086,119.9663
2087,119.9540
2088,119.9421
2089,119.9304
2090,119.9189
2091,119.9075
2092,119.8964
2093,119.8856
2094,119.8748
2095,119.8642
2096,119.8538
2097,119.8435
2098,119.8335
2099,119.8236
2100,119.8137
2135,119.5558
2151,119.4653
2494,119.0097
2517,119.0046
2520,119.0046
2521,119.0045
2525,119.0045
2526,119.0045
2527,119.0026
2529,119.0026
2530,119.0010
2533,119.0009
2535,119.0009
2543,119.0009
2550,119.0009
2551,119.0009
2552,119.0009
2570,119.0006
