Year,Elevation
2024,125.3928
2025,125.3149
2026,125.2401
2027,125.1661
2028,125.0929
2029,125.0198
2030,124.9477
2031,124.8770
2032,124.8082
2033,124.7417
2034,124.6785
2035,124.6180
2036,124.5597
2037,124.5038
2038,124.4507
2039,124.4029
2040,124.3663
2041,124.3412
2042,124.3245
2043,124.3125
2044,124.3021
2045,124.2914
2046,124.2795
2047,124.2659
2048,124.2505
2049,124.2333
2050,124.2147
2051,124.1947
2052,124.1737
2053,124.1515
2054,124.1287
2055,124.1053
2056,124.0813
2057,124.0568
2058,124.0321
2059,124.0072
2060,123.9822
2061,123.9570
2062,123.9318
2063,123.9069
2064,123.8817
2065,123.8565
2066,123.8313
2067,123.8047
2068,123.7767
2069,123.7482
2070,123.7196
2071,123.6911
2072,123.6628
2073,123.6347
2074,123.6068
2075,123.5792
2076,123.5519
2077,123.5248
2078,123.4981
2079,123.4717
2080,123.4457
2081,123.4199
2082,123.3945
2083,123.3695
2084,123.3448
2085,123.3204
2086,123.2965
2087,123.2729
2088,123.2496
2089,123.2265
2090,123.2039
2091,123.1816
2092,123.1596
2093,123.1378
2094,123.1164
2095,123.0953
2096,123.0744
2097,123.0537
2098,123.0334
2099,123.0133
2100,122.9935
2135,122.4588
2151,122.2771
2494,121.3601
2517,121.3434
2520,121.3421
2521,121.3418
2525,121.3405
2526,121.3402
2527,121.3391
2529,121.3388
2530,121.3376
2533,121.3369
2535,121.3366
2543,121.3345
2550,121.3330
2551,121.3326
2552,121.3328
2570,121.3179
