Year,Elevation
2024,126.4860
2025,126.3866
2026,126.2916
2027,126.1991
2028,126.1107
2029,126.0243
2030,125.9403
2031,125.8588
2032,125.7805
2033,125.7060
2034,125.6358
2035,125.5701
2036,125.5080
2037,125.4493
2038,125.3953
2039,125.3510
2040,125.3222
2041,125.3073
2042,125.3013
2043,125.2991
2044,125.2967
2045,125.2919
2046,125.2837
2047,125.2719
2048,125.2567
2049,125.2384
2050,125.2176
2051,125.1952
2052,125.1711
2053,125.1451
2054,125.1180
2055,125.0898
2056,125.0609
2057,125.0313
2058,125.0013
2059,124.9710
2060,124.9406
2061,124.9100
2062,124.8795
2063,124.8492
2064,124.8188
2065,124.7883
2066,124.7581
2067,124.7270
2068,124.6949
2069,124.6621
2070,124.6290
2071,124.5959
2072,124.5628
2073,124.5298
2074,124.4969
2075,124.4643
2076,124.4319
2077,124.3997
2078,124.3680
2079,124.3365
2080,124.3055
2081,124.2746
2082,124.2443
2083,124.2144
2084,124.1849
2085,124.1558
2086,124.1272
2087,124.0990
2088,124.0712
2089,124.0438
2090,124.0169
2091,123.9904
2092,123.9642
2093,123.9384
2094,123.9131
2095,123.8881
2096,123.8634
2097,123.8390
2098,123.8150
2099,123.7913
2100,123.7680
2135,123.1553
2151,122.9540
2494,122.0303
2517,122.0111
2520,122.0097
2521,122.0093
2525,122.0079
2526,122.0076
2527,122.0067
2529,122.0062
2530,122.0051
2533,122.0043
2535,122.0040
2543,122.0021
2550,122.0007
2551,122.0004
2552,122.0006
2570,121.9896
