Year,Elevation
2024,121.1893
2025,121.1548
2026,121.1222
2027,121.0877
2028,121.0465
2029,121.0082
2030,120.9725
2031,120.9387
2032,120.9065
2033,120.8756
2034,120.8461
2035,120.8178
2036,120.7906
2037,120.7643
2038,120.7420
2039,120.7276
2040,120.7089
2041,120.6892
2042,120.6698
2043,120.6511
2044,120.6333
2045,120.6161
2046,120.5994
2047,120.5833
2048,120.5676
2049,120.5521
2050,120.5371
2051,120.5216
2052,120.5064
2053,120.4914
2054,120.4767
2055,120.4623
2056,120.4479
2057,120.4336
2058,120.4196
2059,120.4056
2060,120.3918
2061,120.3780
2062,120.3644
2063,120.3509
2064,120.3372
2065,120.3236
2066,120.3103
2067,120.2857
2068,120.2619
2069,120.2398
2070,120.2191
2071,120.1985
2072,120.1791
2073,120.1606
2074,120.1429
2075,120.1259
2076,120.1094
2077,120.0935
2078,120.0781
2079,120.0632
2080,120.0487
2081,120.0345
2082,120.0207
2083,120.0074
2084,119.9944
2085,119.9817
2086,119.9693
2087,119.9571
2088,119.9453
2089,119.9336
2090,119.9222
2091,119.9109
2092,119.8999
2093,119.8891
2094,119.8784
2095,119.8679
2096,119.8575
2097,119.8473
2098,119.8373
2099,119.8275
2100,119.8177
2135,119.5611
2151,119.4708
2494,119.0159
2517,119.0108
2520,119.0107
2521,119.0107
2525,119.0107
2526,119.0107
2527,119.0087
2529,119.0087
2530,119.0071
2533,119.0071
2535,119.0071
2543,119.0071
2550,119.0070
2551,119.0070
2552,119.0070
2570,119.0067
