Year,Elevation
2024,121.1719
2025,121.1376
2026,121.1049
2027,121.0706
2028,121.0301
2029,120.9920
2030,120.9568
2031,120.9239
2032,120.8930
2033,120.8637
2034,120.8358
2035,120.8092
2036,120.7835
2037,120.7589
2038,120.7377
2039,120.7237
2040,120.7057
2041,120.6861
2042,120.6667
2043,120.6479
2044,120.6297
2045,120.6121
2046,120.5950
2047,120.5784
2048,120.5622
2049,120.5462
2050,120.5306
2051,120.5146
2052,120.4989
2053,120.4835
2054,120.4683
2055,120.4534
2056,120.4386
2057,120.4239
2058,120.4095
2059,120.3951
2060,120.3810
2061,120.3669
2062,120.3530
2063,120.3392
2064,120.3253
2065,120.3115
2066,120.2979
2067,120.2694
2068,120.2438
2069,120.2210
2070,120.1997
2071,120.1788
2072,120.1591
2073,120.1403
2074,120.1223
2075,120.1050
2076,120.0883
2077,120.0722
2078,120.0566
2079,120.0415
2080,120.0268
2081,120.0124
2082,119.9985
2083,119.9850
2084,119.9718
2085,119.9590
2086,119.9465
2087,119.9342
2088,119.9222
2089,119.9104
2090,119.8989
2091,119.8876
2092,119.8764
2093,119.8655
2094,119.8548
2095,119.8442
2096,119.8338
2097,119.8235
2098,119.8135
2099,119.8035
2100,119.7937
2135,119.5360
2151,119.4455
2494,118.9909
2517,118.9857
2520,118.9857
2521,118.9857
2525,118.9856
2526,118.9856
2527,118.9839
2529,118.9838
2530,118.9823
2533,118.9822
2535,118.9821
2543,118.9821
2550,118.9820
2551,118.9820
2552,118.9820
2570,118.9817
