Year,Elevation
2024,121.1166
2025,121.0821
2026,121.0493
2027,121.0151
2028,120.9753
2029,120.9374
2030,120.9018
2031,120.8680
2032,120.8358
2033,120.8050
2034,120.7756
2035,120.7474
2036,120.7202
2037,120.6940
2038,120.6714
2039,120.6559
2040,120.6375
2041,120.6180
2042,120.5988
2043,120.5803
2044,120.5624
2045,120.5452
2046,120.5286
2047,120.5125
2048,120.4969
2049,120.4815
2050,120.4665
2051,120.4512
2052,120.4361
2053,120.4213
2054,120.4066
2055,120.3923
2056,120.3780
2057,120.3638
2058,120.3499
2059,120.3360
2060,120.3222
2061,120.3086
2062,120.2951
2063,120.2817
2064,120.2681
2065,120.2547
2066,120.2414
2067,120.2187
2068,120.1958
2069,120.1740
2070,120.1533
2071,120.1328
2072,120.1135
2073,120.0950
2074,120.0773
2075,120.0603
2076,120.0438
2077,120.0280
2078,120.0126
2079,119.9977
2080,119.9832
2081,119.9690
2082,119.9553
2083,119.9420
2084,119.9290
2085,119.9163
2086,119.9039
2087,119.8918
2088,119.8799
2089,119.8683
2090,119.8569
2091,119.8457
2092,119.8347
2093,119.8239
2094,119.8132
2095,119.8028
2096,119.7925
2097,119.7823
2098,119.7723
2099,119.7625
2100,119.7528
2135,119.4971
2151,119.4071
2494,118.9529
2517,118.9478
2520,118.9478
2521,118.9478
2525,118.9477
2526,118.9477
2527,118.9458
2529,118.9458
2530,118.9442
2533,118.9442
2535,118.9442
2543,118.9442
2550,118.9441
2551,118.9441
2552,118.9441
2570,118.9438
