Year,Elevation
2024,121.3699
2025,121.3352
2026,121.3022
2027,121.2675
2028,121.2264
2029,121.1881
2030,121.1529
2031,121.1201
2032,121.0891
2033,121.0597
2034,121.0318
2035,121.0049
2036,120.9791
2037,120.9542
2038,120.9330
2039,120.9190
2040,120.9004
2041,120.8804
2042,120.8606
2043,120.8414
2044,120.8228
2045,120.8049
2046,120.7875
2047,120.7704
2048,120.7538
2049,120.7374
2050,120.7214
2051,120.7049
2052,120.6888
2053,120.6728
2054,120.6572
2055,120.6418
2056,120.6265
2057,120.6114
2058,120.5965
2059,120.5817
2060,120.5670
2061,120.5525
2062,120.5381
2063,120.5238
2064,120.5094
2065,120.4952
2066,120.4812
2067,120.4569
2068,120.4329
2069,120.4106
2070,120.3894
2071,120.3685
2072,120.3488
2073,120.3299
2074,120.3118
2075,120.2944
2076,120.2775
2077,120.2612
2078,120.2453
2079,120.2300
2080,120.2151
2081,120.2004
2082,120.1862
2083,120.1725
2084,120.1590
2085,120.1458
2086,120.1330
2087,120.1204
2088,120.1081
2089,120.0960
2090,120.0841
2091,120.0725
2092,120.0610
2093,120.0498
2094,120.0386
2095,120.0277
2096,120.0169
2097,120.0063
2098,119.9959
2099,119.9856
2100,119.9754
2135,119.7057
2151,119.6107
2494,119.1216
2517,119.1160
2520,119.1160
2521,119.1159
2525,119.1158
2526,119.1158
2527,119.1139
2529,119.1138
2530,119.1123
2533,119.1122
2535,119.1122
2543,119.1120
2550,119.1119
2551,119.1118
2552,119.1118
2570,119.1101
