Year,Elevation
2024,124.9363
2025,124.8696
2026,124.8059
2027,124.7430
2028,124.6807
2029,124.6190
2030,124.5591
2031,124.5012
2032,124.4457
2033,124.3928
2034,124.3427
2035,124.2951
2036,124.2497
2037,124.2063
2038,124.1652
2039,124.1277
2040,124.0980
2041,124.0759
2042,124.0592
2043,124.0448
2044,124.0309
2045,124.0162
2046,124.0001
2047,123.9824
2048,123.9632
2049,123.9427
2050,123.9210
2051,123.8983
2052,123.8748
2053,123.8505
2054,123.8260
2055,123.8011
2056,123.7760
2057,123.7505
2058,123.7252
2059,123.6996
2060,123.6741
2061,123.6486
2062,123.6233
2063,123.5981
2064,123.5728
2065,123.5477
2066,123.5227
2067,123.4958
2068,123.4677
2069,123.4393
2070,123.4109
2071,123.3829
2072,123.3552
2073,123.3277
2074,123.3005
2075,123.2739
2076,123.2474
2077,123.2213
2078,123.1957
2079,123.1703
2080,123.1455
2081,123.1207
2082,123.0964
2083,123.0725
2084,123.0490
2085,123.0256
2086,123.0028
2087,122.9803
2088,122.9580
2089,122.9360
2090,122.9144
2091,122.8931
2092,122.8721
2093,122.8513
2094,122.8309
2095,122.8107
2096,122.7908
2097,122.7710
2098,122.7516
2099,122.7324
2100,122.7134
2135,122.1952
2151,122.0169
2494,121.0691
2517,121.0533
2520,121.0521
2521,121.0517
2525,121.0504
2526,121.0501
2527,121.0490
2529,121.0487
2530,121.0474
2533,121.0468
2535,121.0464
2543,121.0441
2550,121.0425
2551,121.0421
2552,121.0423
2570,121.0237
