Year,Elevation
2024,123.8094
2025,123.7674
2026,123.7269
2027,123.6863
2028,123.6435
2029,123.6013
2030,123.5609
2031,123.5220
2032,123.4846
2033,123.4484
2034,123.4138
2035,123.3798
2036,123.3470
2037,123.3150
2038,123.2852
2039,123.2586
2040,123.2323
2041,123.2065
2042,123.1820
2043,123.1581
2044,123.1349
2045,123.1118
2046,123.0892
2047,123.0663
2048,123.0435
2049,123.0207
2050,122.9977
2051,122.9747
2052,122.9516
2053,122.9282
2054,122.9055
2055,122.8827
2056,122.8601
2057,122.8372
2058,122.8152
2059,122.7929
2060,122.7706
2061,122.7486
2062,122.7269
2063,122.7053
2064,122.6836
2065,122.6623
2066,122.6409
2067,122.6157
2068,122.5898
2069,122.5646
2070,122.5396
2071,122.5153
2072,122.4914
2073,122.4680
2074,122.4451
2075,122.4229
2076,122.4007
2077,122.3791
2078,122.3578
2079,122.3369
2080,122.3165
2081,122.2960
2082,122.2761
2083,122.2565
2084,122.2371
2085,122.2179
2086,122.1993
2087,122.1809
2088,122.1623
2089,122.1442
2090,122.1263
2091,122.1089
2092,122.0913
2093,122.0742
2094,122.0572
2095,122.0404
2096,122.0237
2097,122.0071
2098,121.9910
2099,121.9748
2100,121.9588
2135,121.5024
2151,121.3378
2494,120.3318
2517,120.3189
2520,120.3176
2521,120.3171
2525,120.3158
2526,120.3154
2527,120.3142
2529,120.3140
2530,120.3125
2533,120.3118
2535,120.3113
2543,120.3086
2550,120.3067
2551,120.3062
2552,120.3064
2570,120.2785
