Year,Elevation
2024,125.5522
2025,125.4697
2026,125.3915
2027,125.3144
2028,125.2395
2029,125.1656
2030,125.0939
2031,125.0246
2032,124.9585
2033,124.8956
2034,124.8365
2035,124.7810
2036,124.7282
2037,124.6782
2038,124.6312
2039,124.5901
2040,124.5620
2041,124.5452
2042,124.5353
2043,124.5280
2044,124.5203
2045,124.5107
2046,124.4986
2047,124.4839
2048,124.4667
2049,124.4474
2050,124.4263
2051,124.4038
2052,124.3800
2053,124.3551
2054,124.3296
2055,124.3034
2056,124.2768
2057,124.2497
2058,124.2224
2059,124.1950
2060,124.1674
2061,124.1399
2062,124.1124
2063,124.0852
2064,124.0578
2065,124.0305
2066,124.0033
2067,123.9745
2068,123.9445
2069,123.9140
2070,123.8835
2071,123.8532
2072,123.8231
2073,123.7932
2074,123.7635
2075,123.7343
2076,123.7052
2077,123.6765
2078,123.6482
2079,123.6202
2080,123.5927
2081,123.5654
2082,123.5385
2083,123.5120
2084,123.4860
2085,123.4602
2086,123.4350
2087,123.4101
2088,123.3855
2089,123.3613
2090,123.3374
2091,123.3140
2092,123.2909
2093,123.2681
2094,123.2456
2095,123.2235
2096,123.2016
2097,123.1799
2098,123.1587
2099,123.1377
2100,123.1170
2135,122.5652
2151,122.3802
2494,121.4768
2517,121.4599
2520,121.4587
2521,121.4584
2525,121.4571
2526,121.4568
2527,121.4556
2529,121.4554
2530,121.4541
2533,121.4536
2535,121.4533
2543,121.4513
2550,121.4499
2551,121.4495
2552,121.4497
2570,121.4364
