WELL_NAME         WELL_ID         X         Y         TOP         BOT         ROW         COLUMN         delx         dely         area
299-E33-26         A4850         573333.375         137681.469         132.488         126.087         26         78         200.0000         200.0000         40000.0000
299-E33-7         A4871         573574.025         137695.968         126.844         121.967         26         79         200.0000         200.0000         40000.0000
299-E33-39         A4864         573843.500         137637.359         126.662         120.261         26         81         200.0000         200.0000         40000.0000
699-47-35A         A5198         579311.332         137779.824         124.724         113.447         26         108         200.0000         200.0000         40000.0000
299-W7-10         A5005         566858.188         137457.531         143.222         137.004         27         46         200.0000         200.0000         40000.0000
299-W6-1         A4996         567214.125         137510.141         145.054         110.612         27         48         200.0000         200.0000         40000.0000
299-W6-10         A5435         567413.313         137453.047         140.808         134.682         27         49         200.0000         200.0000         40000.0000
299-E32-6         A4834         572600.375         137515.094         125.809         119.500         27         75         200.0000         200.0000         40000.0000
299-E32-2         A4830         572648.000         137467.516         126.096         119.829         27         75         200.0000         200.0000         40000.0000
299-E33-30         A4855         572923.813         137467.781         125.126         118.836         27         76         200.0000         200.0000         40000.0000
299-E33-38         A4863         573591.188         137594.484         126.396         119.995         27         79         200.0000         200.0000         40000.0000
299-E33-8         A4872         573475.313         137447.938         129.325         120.455         27         79         200.0000         200.0000         40000.0000
299-E33-31         A4856         573525.000         137491.438         125.829         119.428         27         79         200.0000         200.0000         40000.0000
299-E33-42         A4868         573521.000         137424.375         126.694         120.385         27         79         200.0000         200.0000         40000.0000
299-E33-16         A6855         573791.688         137465.297         125.294         120.722         27         80         200.0000         200.0000         40000.0000
299-E33-44         B8554         573706.438         137469.156         123.486         118.914         27         80         200.0000         200.0000         40000.0000
299-E33-342         C5857         573625.680         137579.960         123.984         120.936         27         80         200.0000         200.0000         40000.0000
299-E33-15         A4842         573810.313         137540.703         123.787         119.215         27         81         200.0000         200.0000         40000.0000
299-E33-14         A4841         573985.625         137567.219         125.246         121.359         27         81         200.0000         200.0000         40000.0000
299-E33-17         A4843         573878.500         137467.188         126.508         119.650         27         81         200.0000         200.0000         40000.0000
299-E34-11         A4876         574176.188         137581.781         125.160         122.088         27         82         200.0000         200.0000         40000.0000
299-E34-9         A4884         574186.000         137429.813         127.005         120.675         27         82         200.0000         200.0000         40000.0000
299-E35-1         A4885         575459.750         137464.953         127.230         123.969         27         89         200.0000         200.0000         40000.0000
699-46-21B         A5197         583604.125         137556.875         118.882         114.523         27         130         200.0000         200.0000         40000.0000
699-46-4         A8726         588520.000         137434.141         109.870         103.164         27         154         200.0000         200.0000         40000.0000
299-W7-4         A5010         566408.750         137308.250         137.048         134.000         28         44         200.0000         200.0000         40000.0000
299-W6-2         A4997         566938.375         137351.000         138.926         136.752         28         46         200.0000         200.0000         40000.0000
299-W6-9         A5434         567031.625         137363.125         142.026         135.717         28         47         200.0000         200.0000         40000.0000
299-W6-3         A4998         567118.188         137299.125         88.524         85.400         28         47         200.0000         200.0000         40000.0000
299-W6-4         A4999         567132.250         137290.484         142.148         135.716         28         47         200.0000         200.0000         40000.0000
299-W11-31         A5472         567221.563         137235.281         142.047         135.951         28         48         200.0000         200.0000         40000.0000
299-W12-1         A4912         568331.250         137206.109         136.703         129.754         28         53         200.0000         200.0000         40000.0000
299-E32-5         A4833         572599.688         137285.125         125.546         119.145         28         74         200.0000         200.0000         40000.0000
299-E32-3         A4831         572600.625         137384.000         125.792         119.207         28         75         200.0000         200.0000         40000.0000
299-E33-28         A4852         573226.375         137375.016         125.133         118.336         28         78         200.0000         200.0000         40000.0000
299-E33-29         A4853         573227.875         137231.188         125.895         117.513         28         78         200.0000         200.0000         40000.0000
299-E33-32         A4857         573524.813         137354.016         126.138         119.738         28         79         200.0000         200.0000         40000.0000
299-E33-43         A4869         573523.188         137325.438         125.661         119.230         28         79         200.0000         200.0000         40000.0000
299-E33-21         A4848         573474.500         137293.203         132.418         121.750         28         79         200.0000         200.0000         40000.0000
299-E33-334         B8810         573514.688         137256.375         124.741         117.115         28         79         200.0000         200.0000         40000.0000
299-E33-335         B8811         573568.438         137222.234         124.164         118.065         28         79         200.0000         200.0000         40000.0000
299-E33-18         A4844         573779.188         137386.063         123.961         117.865         28         80         200.0000         200.0000         40000.0000
299-E33-41         A4867         573707.188         137369.938         124.945         119.732         28         80         200.0000         200.0000         40000.0000
299-E33-339         C3392         573716.875         137221.516         123.238         117.172         28         80         200.0000         200.0000         40000.0000
299-E33-49         C4261         573647.480         137212.800         123.688         117.592         28         80         200.0000         200.0000         40000.0000
299-E33-338         C3391         573912.063         137238.234         123.786         117.690         28         81         200.0000         200.0000         40000.0000
299-E33-47         C4259         573916.480         137295.460         124.124         118.028         28         81         200.0000         200.0000         40000.0000
299-E33-33         A4858         574080.125         137301.938         120.195         119.619         28         82         200.0000         200.0000         40000.0000
299-E33-36         A4861         574068.563         137239.984         125.827         119.426         28         82         200.0000         200.0000         40000.0000
299-E34-10         A4875         574284.375         137224.563         126.504         120.191         28         83         200.0000         200.0000         40000.0000
299-E34-8         A4883         574206.438         137249.625         125.954         119.513         28         83         200.0000         200.0000         40000.0000
299-E34-1         A4874         574642.688         137238.172         126.604         122.032         28         85         200.0000         200.0000         40000.0000
299-E34-2         A4877         574634.813         137220.688         122.643         119.768         28         85         200.0000         200.0000         40000.0000
299-E34-7         A4882         575274.188         137357.750         125.215         121.954         28         88         200.0000         200.0000         40000.0000
299-E35-2         A4886         575576.125         137255.063         125.526         122.295         28         89         200.0000         200.0000         40000.0000
299-E26-14         C8204         575786.450         137264.500         123.514         117.418         28         90         200.0000         200.0000         40000.0000
699-45-42         A5195         577053.940         137286.097         127.285         120.579         28         97         200.0000         200.0000         40000.0000
299-W9-1         A5017         565657.625         137023.766         139.282         138.204         29         40         200.0000         200.0000         40000.0000
299-W10-19         A5438         566346.188         137037.141         142.996         136.869         29         43         200.0000         200.0000         40000.0000
299-W10-21         A5440         566584.000         137154.719         142.103         136.007         29         44         200.0000         200.0000         40000.0000
299-W11-18         A7284         567181.938         137161.484         147.347         126.621         29         47         200.0000         200.0000         40000.0000
299-W11-19         A4904         567213.938         137117.094         145.541         108.858         29         48         200.0000         200.0000         40000.0000
699-45-69A         A5196         568729.300         137182.679         138.623         110.581         29         55         200.0000         200.0000         40000.0000
299-E32-4         A4832         572603.750         137187.219         125.045         117.669         29         75         200.0000         200.0000         40000.0000
299-E28-28         A4824         572804.375         137108.266         126.534         118.945         29         76         200.0000         200.0000         40000.0000
299-E28-26         A4822         572941.563         137024.016         124.856         118.615         29         76         200.0000         200.0000         40000.0000
299-E28-27         A4823         573226.813         137070.063         126.228         116.566         29         78         200.0000         200.0000         40000.0000
299-E28-8         A6788         573698.125         137074.297         128.627         115.216         29         80         200.0000         200.0000         40000.0000
299-E33-48         C4260         573781.450         137162.070         124.049         116.429         29         80         200.0000         200.0000         40000.0000
299-E33-337         C3390         573821.813         137193.875         124.156         116.527         29         81         200.0000         200.0000         40000.0000
299-E33-37         A4862         574091.500         137185.422         125.936         119.596         29         82         200.0000         200.0000         40000.0000
299-E27-16         A4814         574179.250         137164.859         126.211         119.810         29         82         200.0000         200.0000         40000.0000
299-E27-18         A6674         574299.625         137119.297         124.681         118.555         29         83         200.0000         200.0000         40000.0000
299-E27-19         A6675         574355.063         137103.594         124.708         118.582         29         83         200.0000         200.0000         40000.0000
299-E34-12         A5433         574411.000         137168.547         126.578         120.388         29         84         200.0000         200.0000         40000.0000
299-E27-17         A4815         574547.313         137122.016         125.537         119.136         29         84         200.0000         200.0000         40000.0000
299-E27-11         A4809         574652.938         137062.734         126.038         119.637         29         85         200.0000         200.0000         40000.0000
299-E27-8         A4817         574759.063         137044.172         125.799         116.197         29         85         200.0000         200.0000         40000.0000
299-E27-9         A4818         574917.625         137040.906         125.302         117.834         29         86         200.0000         200.0000         40000.0000
299-E27-10         A4808         575100.313         137052.484         126.192         117.628         29         87         200.0000         200.0000         40000.0000
299-E26-1         A4798         575231.000         137091.953         122.997         119.949         29         88         200.0000         200.0000         40000.0000
299-E26-9         A4806         575576.125         137133.125         125.938         122.707         29         89         200.0000         200.0000         40000.0000
299-E26-10         A4799         575589.000         137023.500         125.451         120.696         29         89         200.0000         200.0000         40000.0000
299-E26-77         C6455         575579.030         137129.970         122.781         115.237         29         89         200.0000         200.0000         40000.0000
299-E26-79         C6826         575827.880         137051.500         122.859         115.239         29         91         200.0000         200.0000         40000.0000
299-E26-15         C8913         575926.460         137051.440         124.939         120.263         29         91         200.0000         200.0000         40000.0000
299-E26-11         A4800         576179.938         137134.594         121.958         120.251         29         92         200.0000         200.0000         40000.0000
699-44-16         A8705         584910.000         137005.953         999.000         -999.000         29         136         200.0000         200.0000         40000.0000
299-W9-2         C8201         565742.210         136872.840         136.991         126.336         30         40         200.0000         200.0000         40000.0000
299-W10-29         C4988         566082.980         136828.740         137.684         127.016         30         42         200.0000         200.0000         40000.0000
299-W10-20         A5439         566249.688         136866.609         142.176         136.110         30         43         200.0000         200.0000         40000.0000
299-W10-31         C5194         566266.440         136968.340         137.253         126.561         30         43         200.0000         200.0000         40000.0000
299-W10-10         A4887         566751.375         136805.891         147.132         134.148         30         45         200.0000         200.0000         40000.0000
299-W10-11         A4888         566755.000         136802.219         147.104         132.626         30         45         200.0000         200.0000         40000.0000
299-W10-15         A4892         566770.375         136808.047         144.805         138.404         30         45         200.0000         200.0000         40000.0000
299-W10-22         A9890         566832.625         136883.047         142.324         133.196         30         46         200.0000         200.0000         40000.0000
299-W10-23         B8545         566823.750         136815.344         137.872         127.174         30         46         200.0000         200.0000         40000.0000
