TIME,WELL_NAME,MASS_KG
25037.8398,299-W15-225,0
25771.7148,299-W15-225,0
26512.9297,299-W15-225,0
27261.5566,299-W15-225,0
28017.6699,299-W15-225,0
28781.3438,299-W15-225,0
29552.6543,299-W15-225,0
30331.6777,299-W15-225,0
31118.4922,299-W15-225,0
31913.1738,299-W15-225,0
32715.8027,299-W15-225,0
33526.457,299-W15-225,0
34345.2188,299-W15-225,0
35172.168,299-W15-225,0
36007.3867,299-W15-225,0
36850.957,299-W15-225,0
37702.9648,299-W15-225,0
38563.4922,299-W15-225,0
39432.625,299-W15-225,0
40310.4492,299-W15-225,0
41197.0508,299-W15-225,0
42092.5195,299-W15-225,0
42996.9414,299-W15-225,0
43910.4063,299-W15-225,0
44833,299-W15-225,0
31,299-W14-20,23.41495797
59,299-W14-20,19.98671635
90,299-W14-20,23.49609714
120,299-W14-20,21.52326491
151,299-W14-20,22.24332717
181,299-W14-20,21.32958081
212,299-W14-20,22.64731847
243,299-W14-20,19.36587724
273,299-W14-20,20.7134679
304,299-W14-20,21.84318814
334,299-W14-20,20.53351991
365,299-W14-20,18.30570917
396,299-W14-20,14.78870918
425,299-W14-20,19.20222976
456,299-W14-20,20.17079261
486,299-W14-20,17.54704271
517,299-W14-20,18.26184674
547,299-W14-20,17.66680116
578,299-W14-20,18.61462841
609,299-W14-20,12.21293095
639,299-W14-20,18.43349026
670,299-W14-20,15.6508033
700,299-W14-20,14.63362362
731,299-W14-20,14.986735
762,299-W14-20,14.81415121
790,299-W14-20,12.87966411
821,299-W14-20,10.89074029
851,299-W14-20,9.876045402
882,299-W14-20,10.91202379
912,299-W14-20,8.79087112
943,299-W14-20,11.27053404
974,299-W14-20,9.309958458
1004,299-W14-20,8.801337014
1035,299-W14-20,10.29201953
1065,299-W14-20,8.576908055
1096,299-W14-20,9.246639642
1127,299-W14-20,9.135144332
1155,299-W14-20,8.021696694
1186,299-W14-20,8.731984855
1216,299-W14-20,9.067621845
1247,299-W14-20,8.345536902
1277,299-W14-20,7.902678946
1308,299-W14-20,8.042098195
1339,299-W14-20,7.862137635
1369,299-W14-20,5.404306863
1400,299-W14-20,7.714968191
1430,299-W14-20,7.168671928
1461,299-W14-20,7.078480595
1492,299-W14-20,6.602739198
1520,299-W14-20,8.694045703
1551,299-W14-20,9.10719425
1581,299-W14-20,8.202796402
1612,299-W14-20,8.437620475
1642,299-W14-20,8.304380008
1673,299-W14-20,8.602894262
1704,299-W14-20,8.381028295
1734,299-W14-20,7.821635439
1765,299-W14-20,7.626813423
1795,299-W14-20,7.817492784
1826,299-W14-20,4.885077442
1857,299-W14-20,5.160296914
1886,299-W14-20,5.095560532
1917,299-W14-20,3.80253438
1947,299-W14-20,0
1978,299-W14-20,0
2008,299-W14-20,0
2039,299-W14-20,1.971753273
2070,299-W14-20,4.704673352
2100,299-W14-20,4.428171757
2131,299-W14-20,4.637434916
2161,299-W14-20,4.304075861
2192,299-W14-20,4.324091828
2223,299-W14-20,4.612026429
2251,299-W14-20,4.496329127
2282,299-W14-20,3.98133072
2312,299-W14-20,3.773798427
2343,299-W14-20,3.819714828
2373,299-W14-20,3.55899914
2404,299-W14-20,3.520575965
2435,299-W14-20,3.552956813
2465,299-W14-20,3.407805149
2496,299-W14-20,3.435655128
2526,299-W14-20,3.256453002
2557,299-W14-20,3.282174356
2588,299-W14-20,3.180025533
2616,299-W14-20,2.827739465
2647,299-W14-20,2.379341535
2677,299-W14-20,3.401177751
2708,299-W14-20,3.209594011
2738,299-W14-20,2.758001597
2769,299-W14-20,3.134778204
2800,299-W14-20,3.022289455
2830,299-W14-20,2.788857569
2861,299-W14-20,2.971000367
2891,299-W14-20,2.734276718
2922,299-W14-20,2.755993379
2953,299-W14-20,2.651997599
2981,299-W14-20,2.336388438
3012,299-W14-20,2.537607301
3042,299-W14-20,2.426832685
3073,299-W14-20,2.835143334
3103,299-W14-20,1.552613611
3134,299-W14-20,1.682990905
3165,299-W14-20,1.648714768
3195,299-W14-20,1.351745719
3226,299-W14-20,1.615432316
3256,299-W14-20,1.505820734
3287,299-W14-20,1.542725533
3318,299-W14-20,1.816772818
3347,299-W14-20,1.659719459
3378,299-W14-20,1.732354134
3408,299-W14-20,1.635829043
3439,299-W14-20,1.648872732
3469,299-W14-20,1.556069446
3500,299-W14-20,1.567633468
3531,299-W14-20,1.527360441
3561,299-W14-20,1.440447697
3592,299-W14-20,1.45010431
3622,299-W14-20,1.365685964
3653,299-W14-20,1.370814727
3684,299-W14-20,1.328307463
3712,299-W14-20,1.162376312
3743,299-W14-20,1.244969024
3773,299-W14-20,1.162683556
3804,299-W14-20,1.158121854
3834,299-W14-20,1.079317651
3865,299-W14-20,1.073216227
3896,299-W14-20,1.031370647
3926,299-W14-20,0.95926855
3957,299-W14-20,0
3987,299-W14-20,0
4018,299-W14-20,0
4049,299-W14-20,0
4077,299-W14-20,0
4108,299-W14-20,0
4138,299-W14-20,0
4169,299-W14-20,0
4199,299-W14-20,0
4230,299-W14-20,0
4261,299-W14-20,0
4291,299-W14-20,0
4322,299-W14-20,0
4352,299-W14-20,0
4383,299-W14-20,0
4414,299-W14-20,0
4442,299-W14-20,0
4473,299-W14-20,0
4503,299-W14-20,0
4534,299-W14-20,0
