Month_End,WELL_NAME,MASS_KG
12/31/2013,299-W19-114,0
01/31/2014,299-W19-114,0
02/28/2014,299-W19-114,0
03/31/2014,299-W19-114,0
04/30/2014,299-W19-114,0
05/31/2014,299-W19-114,0
06/30/2014,299-W19-114,0
07/31/2014,299-W19-114,0
08/31/2014,299-W19-114,0
09/30/2014,299-W19-114,0
10/31/2014,299-W19-114,0
11/30/2014,299-W19-114,0
12/31/2014,299-W19-114,0
01/31/2015,299-W19-114,0
02/28/2015,299-W19-114,0
03/31/2015,299-W19-114,0
04/30/2015,299-W19-114,0
05/31/2015,299-W19-114,0
06/30/2015,299-W19-114,0
07/31/2015,299-W19-114,0
08/31/2015,299-W19-114,0
09/30/2015,299-W19-114,0.186696509
10/31/2015,299-W19-114,0.986544534
11/30/2015,299-W19-114,0.993221065
12/31/2015,299-W19-114,1.265447295
01/31/2016,299-W19-114,1.31524457
02/29/2016,299-W19-114,1.219102062
03/31/2016,299-W19-114,1.283157294
04/30/2016,299-W19-114,1.199395515
05/31/2016,299-W19-114,1.21405221
06/30/2016,299-W19-114,1.127947607
07/31/2016,299-W19-114,1.100511712
08/31/2016,299-W19-114,0.999989876
09/30/2016,299-W19-114,1.015214755
10/31/2016,299-W19-114,1.035287338
11/30/2016,299-W19-114,0.926259398
12/31/2016,299-W19-114,1.109708375
01/31/2017,299-W19-114,1.051062494
02/28/2017,299-W19-114,0.888582329
03/31/2017,299-W19-114,0.954480211
04/30/2017,299-W19-114,0.927468214
05/31/2017,299-W19-114,0.954474486
06/30/2017,299-W19-114,0.941177384
07/31/2017,299-W19-114,0.802140724
08/31/2017,299-W19-114,1.092048236
09/30/2017,299-W19-114,0.94278045
10/31/2017,299-W19-114,0.594775594
11/30/2017,299-W19-114,0.585232246
12/31/2017,299-W19-114,0.601877114
01/31/2018,299-W19-114,0.590468782
02/28/2018,299-W19-114,0.524719586
03/31/2018,299-W19-114,0.569414939
04/30/2018,299-W19-114,0.530675619
05/31/2018,299-W19-114,0.535918662
06/30/2018,299-W19-114,0.490120316
07/31/2018,299-W19-114,0.463004504
08/31/2018,299-W19-114,0.411027477
09/30/2018,299-W19-114,0.452815558
10/31/2018,299-W19-114,0.745256347
11/30/2018,299-W19-114,1.183883487
12/31/2018,299-W19-114,0.472718477
01/31/2019,299-W19-114,0.412515372
02/28/2019,299-W19-114,0.608904695
03/31/2019,299-W19-114,0.659720826
04/30/2019,299-W19-114,0.608850864
05/31/2019,299-W19-114,0.599388032
06/30/2019,299-W19-114,0.602079152
07/31/2019,299-W19-114,0.650888055
08/31/2019,299-W19-114,0.608612403
09/30/2019,299-W19-114,0.5334828
10/31/2019,299-W19-114,0.515062683
11/30/2019,299-W19-114,0.656091024
12/31/2019,299-W19-114,1.029128613
01/31/2020,299-W19-114,0.740363105
02/29/2020,299-W19-114,0.654760435
03/31/2020,299-W19-114,0.735273718
04/30/2020,299-W19-114,0.714806211
05/31/2020,299-W19-114,0.713328508
06/30/2020,299-W19-114,0.688099202
07/31/2020,299-W19-114,0.723143371
08/31/2020,299-W19-114,0.574046906
09/30/2020,299-W19-114,0.540026957
10/31/2020,299-W19-114,0.418377153
11/30/2020,299-W19-114,0.064555644
12/31/2020,299-W19-114,0
01/31/2021,299-W19-114,0.134816372
02/28/2021,299-W19-114,0.28039477
03/31/2021,299-W19-114,0.287432683
